id,tested_positive
0,19.668873
1,8.434598
2,10.708077
3,13.104383
4,4.2547183
5,24.083094
6,23.42541
7,9.546169
8,11.248472
9,12.109412
10,20.088808
11,20.290169
12,22.77393
13,14.8046
14,21.467606
15,19.873589
16,30.049393
17,12.32856
18,23.996658
19,4.5226736
20,8.0774145
21,22.234016
22,21.700096
23,17.617393
24,13.81393
25,28.330742
26,21.240263
27,28.058035
28,13.273284
29,20.985756
30,12.040177
31,9.866227
32,26.064373
33,12.089115
34,18.584158
35,38.13942
36,13.917663
37,10.72149
38,14.871673
39,13.853071
40,17.002651
41,2.413797
42,11.68784
43,22.28408
44,10.190134
45,14.26324
46,14.4725895
47,3.441207
48,5.73801
49,21.377254
50,16.499184
51,10.353593
52,12.776345
53,9.812819
54,15.304412
55,30.685726
56,13.051032
57,16.486708
58,32.419018
59,10.615436
60,17.732065
61,22.595165
62,27.026237
63,24.187637
64,17.915165
65,4.762652
66,11.425194
67,20.422075
68,34.841244
69,15.766372
70,22.171936
71,15.216602
72,15.9238615
73,23.931778
74,13.610852
75,12.422083
76,15.875125
77,17.36819
78,7.8899026
79,9.633158
80,19.410988
81,9.820911
82,10.808835
83,18.04224
84,13.087907
85,15.272311
86,23.651093
87,13.159049
88,4.649996
89,20.825642
90,26.951006
91,35.099308
92,19.298439
93,7.405849
94,14.648114
95,11.342738
96,11.989411
97,20.918163
98,14.240408
99,13.566274
100,14.259816
101,10.947164
102,14.269035
103,13.217067
104,10.170943
105,33.57911
106,26.22396
107,9.810271
108,19.28015
109,12.672034
110,13.815481
111,7.7749486
112,19.364872
113,24.575153
114,12.407414
115,11.073845
116,9.840291
117,29.015034
118,19.235996
119,13.50334
120,12.851053
121,23.882198
122,11.587262
123,21.906712
124,32.981483
125,13.350839
126,13.113024
127,10.739974
128,3.893003
129,10.719196
130,15.7818165
131,10.905425
132,13.021314
133,14.466815
134,22.462692
135,19.50518
136,22.95097
137,7.1381702
138,19.128204
139,26.73944
140,24.494974
141,15.561445
142,22.64378
