id,tested_positive
0,20.741913
1,2.8375185
2,2.7476969
3,11.67091
4,3.0571206
5,28.501812
6,26.166607
7,7.2413526
8,11.5804
9,10.171872
10,18.04238
11,21.122824
12,22.50238
13,13.321032
14,21.071726
15,19.44076
16,29.190735
17,8.104622
18,22.60879
19,3.3891416
20,5.6314306
21,24.207092
22,18.833168
23,13.732258
24,12.502746
25,28.25216
26,26.058325
27,27.743126
28,6.63816
29,19.735126
30,10.929977
31,7.2814007
32,27.324684
33,12.210312
34,22.374146
35,31.074078
36,13.207778
37,7.5432944
38,15.60753
39,8.747978
40,15.198279
41,5.1508384
42,8.175256
43,17.502531
44,6.9004793
45,16.359468
46,15.215414
47,3.640052
48,6.7837186
49,15.958525
50,16.493652
51,13.672221
52,13.322283
53,7.610324
54,13.494753
55,30.13208
56,10.100033
57,16.127989
58,33.60379
59,11.331193
60,20.30332
61,21.982168
62,25.944643
63,23.000519
64,18.634747
65,4.4403024
66,13.489344
67,23.628376
68,32.915443
69,17.382343
70,19.876118
71,16.424335
72,12.74716
73,25.999426
74,12.834377
75,2.9807343
76,18.618324
77,13.441068
78,8.519104
79,6.423015
80,17.995872
81,10.945583
82,11.507061
83,15.660908
84,9.632419
85,17.82035
86,23.889473
87,11.423498
88,6.6862597
89,17.403666
90,27.880127
91,35.328587
92,17.713837
93,5.9731073
94,11.83719
95,11.825109
96,11.676786
97,22.702465
98,11.896172
99,12.839198
100,5.4135265
101,7.2883825
102,15.656061
103,12.971785
104,3.2589126
105,32.16122
106,29.169603
107,11.572163
108,20.618364
109,9.56181
110,14.151091
111,7.0179534
112,20.687115
113,24.62012
114,15.998491
115,10.431746
116,9.839042
117,29.614601
118,19.93827
119,12.061034
120,12.081075
121,23.562885
122,9.142193
123,19.939812
124,32.814632
125,11.541616
126,11.817752
127,6.064799
128,3.8914425
129,11.337687
130,17.701292
131,13.712439
132,13.569168
133,15.668853
134,23.43213
135,19.179691
136,23.208807
137,5.263065
138,16.433428
139,33.123226
140,25.448032
141,17.88149
142,26.164803
143,27.003286
144,12.370241
145,35.66617
146,4.350797
147,13.006643
148,19.736643
149,15.866923
150,21.18645
151,8.212811
152,20.74598
153,4.6195083
154,33.513027
155,17.345963
156,16.74967
157,27.060831
158,17.68611
159,18.267315
160,18.335243
161,23.810802
162,13.711222
163,15.481222
164,16.595753
165,24.499264
166,27.956408
167,16.689062
168,28.883991
169,17.05567
170,12.291821
171,12.755964
172,25.46171
173,39.674686
174,22.142616
175,5.5020447
176,7.286726
177,33.08598
178,28.882332
179,24.586752
180,16.367752
181,24.363785
182,26.75166
183,10.095404
184,19.64697
185,10.318488
186,19.547667
187,5.3188553
188,13.228143
189,26.262102
190,4.551104
191,24.11678
192,26.030535
193,7.398982
194,12.66293
195,30.622904
196,7.897503
197,27.314297
198,12.082523
199,19.015282
200,24.364573
201,17.09312
202,23.321411
203,12.883818
204,26.788723
205,21.462278
206,14.843764
207,28.923164
208,16.992332
209,8.105671
210,9.599826
211,16.77714
212,31.207691
213,5.265987
214,11.644854
215,14.063839
216,7.25244
217,14.698754
218,10.743873
219,10.550875
220,15.900383
221,9.3003235
222,14.886689
223,13.473633
224,24.600737
225,20.981524
226,14.5616665
227,6.999924
228,10.471184
229,33.283302
230,16.518578
231,7.0198355
232,13.980403
233,21.517744
234,10.084631
235,32.73006
236,19.926252
237,20.576647
238,20.868357
239,31.390875
240,12.538797
241,28.018887
242,29.130655
243,29.12033
244,12.832073
245,10.603928
246,15.318315
247,27.97009
248,19.896912
249,12.226348
250,22.979591
251,16.088305
252,20.935324
253,11.319468
254,12.585082
255,10.080347
256,6.3166914
257,20.044462
258,14.70509
259,5.3991923
260,13.835141
261,2.648451
262,5.546966
263,21.67073
264,15.422275
265,6.0056834
266,25.241585
267,26.277397
268,7.114513
269,12.77298
270,14.678029
271,7.7148848
272,20.730942
273,11.844805
274,8.131337
275,17.31042
276,20.452927
277,8.761499
278,15.551787
279,17.639582
280,21.481258
281,20.504997
282,18.250256
283,25.13897
284,17.84685
285,21.956465
286,22.092955
287,29.143692
288,5.6374774
289,19.624632
290,13.181246
291,18.000856
292,3.6600795
293,4.003628
294,22.725704
295,15.330864
296,5.5084157
297,23.466888
298,11.404321
299,10.705058
300,12.598122
301,21.771872
302,10.574199
303,19.754368
304,12.910849
305,18.606094
306,22.082098
307,30.41962
308,13.259173
309,12.03813
310,11.069647
311,24.531134
312,9.450129
313,24.338013
314,18.629126
315,16.165121
316,28.583742
317,18.957397
318,19.146662
319,16.596064
320,3.4699266
321,6.4734964
322,26.18107
323,19.224009
324,8.065228
325,19.630577
326,3.675309
327,24.86892
328,19.03072
329,24.830559
330,9.77652
331,24.81637
332,13.143211
