id,tested_positive
0,21.509405
1,2.549297
2,3.1294951
3,11.428817
4,0.5180947
5,26.907755
6,25.11659
7,7.9527993
8,10.959432
9,11.53081
10,18.285397
11,21.198141
12,22.469755
13,13.4436655
14,22.05615
15,19.14145
16,30.168509
17,8.370968
18,22.855482
19,0.8156958
20,7.25402
21,24.589808
22,18.722025
23,14.130683
24,12.338315
25,28.539892
26,27.347486
27,27.91184
28,6.305296
29,19.422388
30,11.087829
31,6.6555276
32,27.84881
33,12.778004
34,21.01105
35,32.085922
36,12.451745
37,6.731646
38,16.22278
39,8.9166765
40,16.23491
41,4.790345
42,7.6250176
43,18.176565
44,6.2268558
45,16.490377
46,15.488499
47,1.3839946
48,6.3513875
49,14.958846
50,17.331022
51,13.405694
52,13.351586
53,7.9594765
54,14.485577
55,28.648966
56,8.495128
57,16.00472
58,34.728935
59,10.6964445
60,19.761934
61,23.03502
62,25.573172
63,23.03475
64,18.569412
65,2.400297
66,12.588033
67,24.196562
68,32.15214
69,17.782108
70,20.051935
71,16.313375
72,12.43249
73,26.67275
74,14.332667
75,2.371006
76,19.29793
77,13.044573
78,7.6018424
79,7.438934
80,18.045948
81,10.03456
82,11.908114
83,16.247976
84,10.1755
85,17.374937
86,23.779558
87,11.097531
88,5.9293904
89,17.641994
90,28.137339
91,35.48232
92,18.218706
93,5.561718
94,11.968643
95,11.605576
96,12.303454
97,23.301685
98,12.33145
99,13.4349
100,5.2800317
101,9.040372
102,15.757649
103,13.241555
104,4.0901647
105,31.789667
106,29.376802
107,11.718112
108,20.70135
109,8.413505
110,13.408989
111,6.4365582
112,21.594385
113,25.81426
114,15.455537
115,11.503375
116,9.570104
117,29.907522
118,20.206135
119,11.579686
120,12.942702
121,23.765055
122,10.307149
123,20.047586
124,33.612736
125,11.466577
126,11.362988
127,5.284855
128,1.9740373
129,10.810121
130,17.16769
131,12.908305
132,12.499812
133,16.115538
134,23.458801
135,19.022495
136,23.64166
137,4.7195706
138,16.345512
139,33.93801
140,25.77439
141,18.029364
142,24.19286
143,26.182451
144,12.111226
145,35.421474
146,5.783036
147,13.19506
148,19.46573
149,16.566013
150,21.183672
151,8.424779
152,21.447683
153,5.390204
154,33.045887
155,17.375551
156,17.700035
157,26.663551
158,17.896875
159,17.969952
160,17.836763
161,23.647179
162,12.839957
163,15.425058
164,15.953144
165,24.743341
166,26.728985
167,16.47065
168,29.525213
169,18.366663
170,12.924401
171,13.549947
172,25.291315
173,38.572628
174,23.24808
175,5.043501
176,7.0972652
177,32.50203
178,29.302687
179,24.194798
180,16.405643
181,23.849665
182,27.378931
183,9.247437
184,19.166424
185,10.478169
186,19.204824
187,5.075664
188,13.256741
189,27.1813
190,4.2820406
191,24.637888
192,26.720514
193,7.6790433
194,13.09649
195,30.918907
196,9.178025
197,26.52136
198,10.613856
199,18.849977
200,24.364952
